family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
ER,30,0.06,uniform_1_9,DIJKSTRA,,,,3.829149864031933e-05,1000,1
ER,30,0.06,uniform_1_9,A*,,,,4.470799831324257e-05,1000,2
ER,30,0.1,uniform_1_9,DIJKSTRA,,,,4.8999998398358e-05,1000,1
ER,30,0.1,uniform_1_9,A*,,,,5.4749496484873816e-05,1000,2
ER,30,0.14,uniform_1_9,DIJKSTRA,,,,6.133349597803317e-05,1000,1
ER,30,0.14,uniform_1_9,A*,,,,6.616699829464778e-05,1000,2
ER,60,0.06,uniform_1_9,DIJKSTRA,,,,0.00011181250010849908,1000,1
ER,60,0.06,uniform_1_9,A*,,,,0.00012543749835458584,1000,2
ER,60,0.1,uniform_1_9,DIJKSTRA,,,,0.00016637499720673077,1000,1
ER,60,0.1,uniform_1_9,A*,,,,0.00017312449926976115,1000,2
ER,60,0.14,uniform_1_9,A*,,,,0.00020222949751769193,1000,1
ER,60,0.14,uniform_1_9,DIJKSTRA,,,,0.00020302100529079325,1000,2
ER,120,0.06,uniform_1_9,DIJKSTRA,,,,0.00038360399776138365,1000,1
ER,120,0.06,uniform_1_9,A*,,,,0.00038825050069135614,1000,2
ER,120,0.1,uniform_1_9,A*,,,,0.0005082089992356487,1000,1
ER,120,0.1,uniform_1_9,DIJKSTRA,,,,0.0005714794970117509,1000,2
ER,120,0.14,uniform_1_9,A*,,,,0.0006006040021020453,1000,1
ER,120,0.14,uniform_1_9,DIJKSTRA,,,,0.0007816664983693045,1000,2
ER,240,0.06,uniform_1_9,A*,,,,0.001131291501224041,1000,1
ER,240,0.06,uniform_1_9,DIJKSTRA,,,,0.0013464790026773699,1000,2
ER,240,0.1,uniform_1_9,A*,,,,0.0014915415049472358,1000,1
ER,240,0.1,uniform_1_9,DIJKSTRA,,,,0.002107375501509523,1000,2
ER,240,0.14,uniform_1_9,A*,,,,0.0016554165013076272,1000,1
ER,240,0.14,uniform_1_9,DIJKSTRA,,,,0.0028477500018198043,1000,2
BA,30,0.06,uniform_1_9,DIJKSTRA,,,,3.5958000808022916e-05,1000,1
BA,30,0.06,uniform_1_9,A*,,,,4.110450026928447e-05,1000,2
BA,30,0.1,uniform_1_9,DIJKSTRA,,,,6.081249739509076e-05,1000,1
BA,30,0.1,uniform_1_9,A*,,,,6.550049874931574e-05,1000,2
BA,30,0.14,uniform_1_9,DIJKSTRA,,,,5.916650115977973e-05,1000,1
BA,30,0.14,uniform_1_9,A*,,,,6.460399890784174e-05,1000,2
BA,60,0.06,uniform_1_9,DIJKSTRA,,,,0.00012024950046907179,1000,1
BA,60,0.06,uniform_1_9,A*,,,,0.00013087449769955128,1000,2
BA,60,0.1,uniform_1_9,DIJKSTRA,,,,0.00016456249795737676,1000,1
BA,60,0.1,uniform_1_9,A*,,,,0.00016858300296007656,1000,2
BA,60,0.14,uniform_1_9,A*,,,,0.00020058399968547747,1000,1
BA,60,0.14,uniform_1_9,DIJKSTRA,,,,0.00020506249711615965,1000,2
BA,120,0.06,uniform_1_9,A*,,,,0.00041933350075851195,1000,1
BA,120,0.06,uniform_1_9,DIJKSTRA,,,,0.00043547899986151606,1000,2
BA,120,0.1,uniform_1_9,A*,,,,0.0005345625031623058,1000,1
BA,120,0.1,uniform_1_9,DIJKSTRA,,,,0.0006045004993211478,1000,2
BA,120,0.14,uniform_1_9,A*,,,,0.0006137710006441921,1000,1
BA,120,0.14,uniform_1_9,DIJKSTRA,,,,0.0007580004967167042,1000,2
BA,240,0.06,uniform_1_9,A*,,,,0.001292166500206804,1000,1
BA,240,0.06,uniform_1_9,DIJKSTRA,,,,0.0014948125026421621,1000,2
BA,240,0.1,uniform_1_9,A*,,,,0.0017739995018928312,1000,1
BA,240,0.1,uniform_1_9,DIJKSTRA,,,,0.0023290630015253555,1000,2
BA,240,0.14,uniform_1_9,A*,,,,0.0020265624989406206,1000,1
BA,240,0.14,uniform_1_9,DIJKSTRA,,,,0.003066603996558115,1000,2
WS,30,0.06,uniform_1_9,DIJKSTRA,0.01,,,3.237499913666397e-05,1000,1
WS,30,0.06,uniform_1_9,A*,0.01,,,3.8666501495754346e-05,1000,2
WS,30,0.06,uniform_1_9,DIJKSTRA,0.05,,,3.2979496609186754e-05,1000,1
WS,30,0.06,uniform_1_9,A*,0.05,,,3.949999882024713e-05,1000,2
WS,30,0.06,uniform_1_9,DIJKSTRA,0.1,,,3.393750012037344e-05,1000,1
WS,30,0.06,uniform_1_9,A*,0.1,,,3.9895501686260104e-05,1000,2
WS,30,0.06,uniform_1_9,DIJKSTRA,0.3,,,3.441700027906336e-05,1000,1
