family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
ER,30,0.06,uniform_1_9,BI_DIJKSTRA,,,,2.6353998691774905e-05,1000,1
ER,30,0.06,uniform_1_9,DIJKSTRA,,,,4.045799869345501e-05,1000,2
ER,30,0.06,uniform_1_9,A*,,,,4.729099600808695e-05,1000,3
ER,30,0.06,uniform_1_9,ALT,,,,5.9541500377235934e-05,1000,4
ER,30,0.1,uniform_1_9,BI_DIJKSTRA,,,,2.4271001166198403e-05,1000,1
ER,30,0.1,uniform_1_9,DIJKSTRA,,,,5.145799877936952e-05,1000,2
ER,30,0.1,uniform_1_9,ALT,,,,5.733400030294433e-05,1000,3
ER,30,0.1,uniform_1_9,A*,,,,5.747899922425859e-05,1000,4
ER,30,0.14,uniform_1_9,BI_DIJKSTRA,,,,2.9083999834256247e-05,1000,1
ER,30,0.14,uniform_1_9,ALT,,,,6.018749991199002e-05,1000,2
ER,30,0.14,uniform_1_9,DIJKSTRA,,,,6.391649731085636e-05,1000,3
ER,30,0.14,uniform_1_9,A*,,,,6.822900104452856e-05,1000,4
ER,60,0.06,uniform_1_9,BI_DIJKSTRA,,,,3.8937498175073415e-05,1000,1
ER,60,0.06,uniform_1_9,ALT,,,,8.312549834954552e-05,1000,2
ER,60,0.06,uniform_1_9,DIJKSTRA,,,,0.00011708349848049693,1000,3
ER,60,0.06,uniform_1_9,A*,,,,0.00012789550601155497,1000,4
ER,60,0.1,uniform_1_9,BI_DIJKSTRA,,,,5.249999594525434e-05,1000,1
ER,60,0.1,uniform_1_9,ALT,,,,0.00010766700142994523,1000,2
ER,60,0.1,uniform_1_9,DIJKSTRA,,,,0.00017443799879401922,1000,3
ER,60,0.1,uniform_1_9,A*,,,,0.0001777085017238278,1000,4
ER,60,0.14,uniform_1_9,BI_DIJKSTRA,,,,6.170849883346818e-05,1000,1
ER,60,0.14,uniform_1_9,ALT,,,,0.00013922899961471558,1000,2
ER,60,0.14,uniform_1_9,A*,,,,0.0002086669992422685,1000,3
ER,60,0.14,uniform_1_9,DIJKSTRA,,,,0.00021097900025779381,1000,4
ER,120,0.06,uniform_1_9,BI_DIJKSTRA,,,,8.693749987287447e-05,1000,1
ER,120,0.06,uniform_1_9,ALT,,,,0.0002066255001409445,1000,2
ER,120,0.06,uniform_1_9,DIJKSTRA,,,,0.00038814599975012243,1000,3
ER,120,0.06,uniform_1_9,A*,,,,0.00038920799852348864,1000,4
ER,120,0.1,uniform_1_9,BI_DIJKSTRA,,,,0.0001188750029541552,1000,1
ER,120,0.1,uniform_1_9,ALT,,,,0.0003182084983563982,1000,2
ER,120,0.1,uniform_1_9,A*,,,,0.0005182919994695112,1000,3
