family,algo,median_cpu_sec,median_exp,median_rel,ok_rate,n_samples,median_cpu_ms
BA,A*,0.00021754100089305,35.0,91.0,1.0,12000,0.21754100089305
BA,ALT,0.0001963750000868,7.0,47.0,1.0,12000,0.1963750000868
BA,BI_DIJKSTRA,7.254100273712538e-05,10.0,83.0,1.0,12000,0.07254100273712538
BA,DIJKSTRA,0.00022006250219415002,50.0,94.0,1.0,12000,0.22006250219415002
COMM,A*,0.0001788750014384,39.0,82.0,1.0,36000,0.1788750014384
COMM,ALT,0.0001316670022788,8.0,30.0,1.0,36000,0.13166700227880002
COMM,BI_DIJKSTRA,6.379200203809887e-05,16.0,65.0,1.0,36000,0.06379200203809887
COMM,DIJKSTRA,0.0001770410017343,50.0,86.0,1.0,36000,0.1770410017343
ER,A*,0.00021245850075495,37.0,89.0,1.0,12000,0.21245850075494999
ER,ALT,0.00015610400077995,7.0,37.0,1.0,12000,0.15610400077995001
ER,BI_DIJKSTRA,6.945900167920627e-05,14.0,77.0,1.0,12000,0.06945900167920627
ER,DIJKSTRA,0.00021214600201345,50.0,92.0,1.0,12000,0.21214600201345002
GRID,A*,0.0001233335024153,41.0,62.0,1.0,12000,0.1233335024153
GRID,ALT,0.00010364549962100001,10.0,22.0,1.0,12000,0.103645499621
GRID,BI_DIJKSTRA,8.079200051724911e-05,31.0,57.0,1.0,12000,0.08079200051724911
GRID,DIJKSTRA,0.0001369170022371,55.0,72.0,1.0,12000,0.13691700223710002
WS,A*,0.0002080840058624,40.0,84.0,1.0,48000,0.2080840058624
WS,ALT,0.00015352050104410002,9.0,34.0,1.0,48000,0.1535205010441
WS,BI_DIJKSTRA,0.0001039580020005,22.0,77.0,1.0,48000,0.1039580020005
WS,DIJKSTRA,0.000207812001463,50.0,88.0,1.0,48000,0.207812001463
